storm_id,storm_name,num_of_obs,datetime,category,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,central_pressure_mb,34_kt_ne_nm,34_kt_se_nm,34_kt_sw_nm,34_kt_nw_nm,50_kt_ne_nm,50_kt_se_nm,50_kt_sw_nm,50_kt_nw_nm,64_kt_ne_nm,64_kt_se_nm,64_kt_sw_nm,64_kt_nw_nm,radius_of_max_wind_nm
AL071859,UNNAMED,11,1859-10-18 06:00:00,Tropical Storm,,TS,27.2,-81.8,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081859,UNNAMED,24,1859-10-28 06:00:00,1,,HU,25.7,-87.1,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081859,UNNAMED,24,1859-10-28 12:00:00,1,,HU,26.7,-85.0,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081859,UNNAMED,24,1859-10-28 18:00:00,1,L,HU,27.7,-82.8,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081859,UNNAMED,24,1859-10-29 00:00:00,1,,HU,29.2,-79.2,70,989,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011860,UNNAMED,35,1860-08-12 12:00:00,1,,HU,31.0,-88.0,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011860,UNNAMED,35,1860-08-12 18:00:00,Tropical Storm,,TS,31.3,-86.8,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,UNNAMED,15,1861-11-01 06:00:00,Tropical Storm,,TS,25.5,-82.1,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,UNNAMED,15,1861-11-01 08:00:00,Tropical Storm,L,TS,26.0,-81.8,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,UNNAMED,15,1861-11-01 12:00:00,Tropical Storm,,TS,27.2,-81.1,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,UNNAMED,15,1861-11-01 18:00:00,Tropical Storm,,TS,29.2,-80.1,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071865,UNNAMED,34,1865-10-23 12:00:00,2,,HU,25.0,-81.4,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071865,UNNAMED,34,1865-10-23 12:00:00,2,,HU,25.0,-81.4,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071865,UNNAMED,34,1865-10-23 14:00:00,2,L,HU,25.4,-81.1,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071865,UNNAMED,34,1865-10-23 18:00:00,1,,HU,26.5,-80.2,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-05 12:00:00,1,,HU,29.3,-87.8,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-05 18:00:00,1,,HU,29.3,-86.8,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-06 00:00:00,1,,HU,29.4,-85.8,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-06 06:00:00,1,,HU,29.4,-84.8,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-06 12:00:00,1,,HU,29.5,-84.0,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-06 06:00:00,1,,HU,29.4,-84.8,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-06 12:00:00,1,,HU,29.5,-84.0,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-06 15:00:00,1,L,HU,29.6,-83.4,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-06 18:00:00,Tropical Storm,,TS,29.6,-83.1,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-07 00:00:00,Tropical Storm,,TS,29.8,-82.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-07 06:00:00,Tropical Storm,,TS,30.1,-81.8,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-07 12:00:00,Tropical Storm,,TS,30.5,-81.0,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,34,1867-10-07 18:00:00,Tropical Storm,,TS,31.0,-80.0,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021868,UNNAMED,29,1868-10-04 12:00:00,Tropical Storm,,TS,29.5,-87.0,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021868,UNNAMED,29,1868-10-04 16:00:00,Tropical Storm,L,TS,29.9,-85.4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021868,UNNAMED,29,1868-10-04 18:00:00,Tropical Storm,,TS,30.2,-84.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021868,UNNAMED,29,1868-10-05 00:00:00,Tropical Storm,,TS,31.0,-82.3,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011870,UNNAMED,1,1870-07-30 18:00:00,1,L,HU,30.5,-88.0,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091870,UNNAMED,18,1870-10-20 14:00:00,1,L,HU,24.7,-82.8,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091870,UNNAMED,18,1870-10-20 18:00:00,1,,HU,25.5,-82.3,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091870,UNNAMED,18,1870-10-20 14:00:00,1,L,HU,24.7,-82.8,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091870,UNNAMED,18,1870-10-20 18:00:00,1,,HU,25.5,-82.3,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
