storm_id,storm_name,num_of_obs,datetime,category,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,central_pressure_mb,34_kt_ne_nm,34_kt_se_nm,34_kt_sw_nm,34_kt_nw_nm,50_kt_ne_nm,50_kt_se_nm,50_kt_sw_nm,50_kt_nw_nm,64_kt_ne_nm,64_kt_se_nm,64_kt_sw_nm,64_kt_nw_nm,radius_of_max_wind_nm
AL092022,IAN,40,2022-09-29 06:00:00,1,,HU,27.7,-81.1,65,985.0,360.0,120.0,150.0,200.0,60.0,50.0,40.0,70.0,30.0,0.0,0.0,30.0,20.0
AL092022,IAN,40,2022-09-29 12:00:00,Tropical Storm,,TS,28.4,-80.6,60,987.0,360.0,120.0,150.0,200.0,60.0,50.0,40.0,70.0,0.0,0.0,0.0,0.0,40.0
AL092022,IAN,40,2022-09-29 18:00:00,1,,HU,28.9,-80.1,65,986.0,360.0,140.0,150.0,200.0,60.0,0.0,50.0,100.0,0.0,0.0,0.0,40.0,40.0
AL092022,IAN,40,2022-09-30 00:00:00,1,,HU,29.6,-79.4,70,986.0,420.0,150.0,120.0,220.0,60.0,80.0,80.0,120.0,0.0,0.0,40.0,60.0,40.0
AL092022,IAN,40,2022-09-30 06:00:00,1,,HU,30.3,-79.1,75,984.0,420.0,130.0,100.0,160.0,80.0,60.0,80.0,120.0,0.0,0.0,40.0,60.0,40.0
